,4,5,Ave,BBI,Ct,Econ,Inns,Mat,Mdns,Overs,Player,Runs,SR,St,Wkts,team,year
10,0,0,39.00,1/39,1.0,9.75,1,1.0,0,4.0,TA Boult,39,24.0,0.0,1,SRH,2016
11,0,0,39.00,1/14,1.0,10.17,2,4.0,0,3.5,A Ashish Reddy,39,23.0,0.0,1,SRH,2016
12,0,0,0.0,0.0,0.0,10.46,5,5.0,0,16.2,KV Sharma,171,0.0,0.0,0,SRH,2016
13,0.0,0.0,0.0,0.0,5.0,0.0,0.0,17.0,0.0,0.0,S Dhawan,0.0,0.0,0.0,0.0,SRH,2016
14,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,EJG Morgan,0.0,0.0,0.0,0.0,SRH,2016
15,0.0,0.0,0.0,0.0,18.0,0.0,0.0,17.0,0.0,0.0,NV Ojha,0.0,0.0,0.0,0.0,SRH,2016
16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,AP Tare,0.0,0.0,0.0,0.0,SRH,2016
17,0.0,0.0,0.0,0.0,4.0,0.0,0.0,17.0,0.0,0.0,DA Warner,0.0,0.0,0.0,0.0,SRH,2016
0,0,0,19.83,2/13,2.0,6.67,7,7.0,0,17.5,S Nadeem,119,17.8,0.0,6,DD,2017
1,0,0,0.0,0.0,0.0,7.00,2,2.0,0,6.0,J Yadav,42,0.0,0.0,0,DD,2017
2,1,0,20.00,4/26,5.0,7.74,9,9.0,0,31.0,CH Morris,240,15.5,0.0,12,DD,2017
3,0,0,31.30,3/20,4.0,7.79,11,11.0,0,40.1,Z Khan,313,24.1,0.0,10,DD,2017
4,0,0,24.86,2/20,1.0,8.07,12,12.0,0,46.1,PJ Cummins,373,18.4,0.0,15,DD,2017
5,0,0,31.33,2/20,0.0,8.81,6,6.0,0,21.2,K Rabada,188,21.3,0.0,6,DD,2017
6,0,0,34.30,3/11,3.0,8.83,14,14.0,1,38.5,A Mishra,343,23.3,0.0,10,DD,2017
7,0,0,48.60,2/36,0.0,9.34,8,8.0,0,26.0,Mohammed Shami,243,31.2,0.0,5,DD,2017
8,0,0,62.00,1/23,5.0,9.87,8,11.0,0,18.5,CJ Anderson,186,37.6,0.0,3,DD,2017
9,0,0,67.00,1/38,0.0,11.16,2,2.0,0,6.0,CR Brathwaite,67,36.0,0.0,1,DD,2017
10,0,0,0.0,0.0,2.0,11.20,2,3.0,0,5.0,AD Mathews,56,0.0,0.0,0,DD,2017
11,0,0,0.0,0.0,1.0,11.33,2,5.0,0,3.0,MN Samuels,34,0.0,0.0,0,DD,2017
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,AR Bawne,0.0,0.0,0.0,0.0,DD,2017
