,wickets,Total,batting_team,venue,match_winner,wickets_6overs,runs_6overs,toss,year,winner
30,6,160,Delhi Daredevils,Eden Gardens,Kolkata Knight Riders,1,54,0,2017,0
31,3,207,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali",Sunrisers Hyderabad,0,61,0,2017,1
32,3,157,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,1,44,0,2017,1
33,9,153,Gujarat Lions,Saurashtra Cricket Association Stadium,NA,3,48,1,2017,0
34,10,67,Delhi Daredevils,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,3,25,0,2017,0
35,3,209,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,0,85,0,2017,1
36,8,162,Royal Challengers Bangalore,Wankhede Stadium,Mumbai Indians,2,53,1,2017,0
37,10,161,Gujarat Lions,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,1,56,0,2017,0
38,3,185,Sunrisers Hyderabad,Feroz Shah Kotla,Delhi Daredevils,1,66,0,2017,0
39,8,155,Kolkata Knight Riders,Eden Gardens,Rising Pune Supergiant,3,41,0,2017,0
40,7,208,Gujarat Lions,Feroz Shah Kotla,Delhi Daredevils,2,59,0,2017,0
41,7,138,Kings XI Punjab,M Chinnaswamy Stadium,Kings XI Punjab,2,36,0,2017,1
42,8,148,Rising Pune Supergiant,"Rajiv Gandhi International Stadium, Uppal",Rising Pune Supergiant,1,36,0,2017,1
43,3,212,Mumbai Indians,Feroz Shah Kotla,Mumbai Indians,0,61,0,2017,1
44,6,158,Royal Challengers Bangalore,M Chinnaswamy Stadium,Kolkata Knight Riders,3,41,0,2017,0
45,3,189,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",Gujarat Lions,1,45,0,2017,0
46,7,138,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,2,36,1,2017,0
47,6,167,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,2,42,0,2017,1
48,5,195,Gujarat Lions,Green Park,Delhi Daredevils,2,52,0,2017,0
49,3,230,Kings XI Punjab,Wankhede Stadium,Kings XI Punjab,1,71,0,2017,1
50,8,168,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,2,54,1,2017,1
51,10,154,Gujarat Lions,Green Park,Sunrisers Hyderabad,0,62,0,2017,0
52,5,173,Mumbai Indians,Eden Gardens,Mumbai Indians,1,55,0,2017,1
53,10,73,Kings XI Punjab,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,5,32,0,2017,0
54,6,161,Royal Challengers Bangalore,Feroz Shah Kotla,Royal Challengers Bangalore,1,37,1,2017,1
55,4,162,Rising Pune Supergiant,Wankhede Stadium,Rising Pune Supergiant,2,34,0,2017,1
56,7,128,Sunrisers Hyderabad,M Chinnaswamy Stadium,Kolkata Knight Riders,1,31,0,2017,0
57,10,107,Kolkata Knight Riders,M Chinnaswamy Stadium,Mumbai Indians,3,29,0,2017,0
58,8,129,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,2,32,1,2017,1
